player_id,In Player Stats File,team_id,season,league,player,age,team,position,games,games_started,minutes_played,per,ts_percent,three_attempt_rt,free_throw_rt,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,offensive_ws,defensive_ws,ws,ws_per48,offensive_bpm,defensive_bpm,bpm,vorp
anunoog01NYK2026,OG Anunoby,NYK2026,2026,NBA,OG Anunoby,28,NYK,PF,62,62,2065,15.5,0.615,0.496,0.273,0.043,0.128,0.085,0.092,0.024,0.021,0.123,0.196,2.6,2.9,5.5,0.129,0.6,1.2,1.8,2
avdijde01POR2026,Deni Avdija,POR2026,2026,NBA,Deni Avdija,25,POR,SF,61,61,2017,20.3,0.598,0.373,0.58,0.038,0.193,0.114,0.322,0.011,0.017,0.161,0.292,4.1,2.2,6.3,0.15,3.7,0.5,4.2,3.2
aytonde01LAL2026,Deandre Ayton,LAL2026,2026,NBA,Deandre Ayton,27,LAL,C,66,66,1810,18.2,0.679,0,0.232,0.117,0.235,0.178,0.046,0.011,0.032,0.12,0.165,3.7,2,5.7,0.151,0.1,-0.8,-0.8,0.6
baglema012TM2026,Marvin Bagley III,2TM2026,2026,NBA,Marvin Bagley III,26,2TM,PF,56,10,1119,19.9,0.655,0.111,0.365,0.133,0.195,0.164,0.111,0.011,0.03,0.119,0.186,2.7,0.7,3.4,0.146,1.5,-1,0.5,0.7
baglema01WAS2026,Marvin Bagley III,WAS2026,2026,NBA,Marvin Bagley III,26,WAS,PF,38,8,731,20.6,0.667,0.077,0.394,0.14,0.176,0.158,0.117,0.013,0.032,0.132,0.191,1.9,0.3,2.2,0.144,1.8,-1.1,0.8,0.5
baglema01DAL2026,Marvin Bagley III,DAL2026,2026,NBA,Marvin Bagley III,26,DAL,PF,18,2,388,18.6,0.633,0.174,0.311,0.119,0.229,0.175,0.098,0.007,0.026,0.091,0.178,0.8,0.4,1.2,0.151,0.8,-0.8,0,0.2
baileac01UTA2026,Ace Bailey,UTA2026,2026,NBA,Ace Bailey,19,UTA,SF,67,56,1830,12,0.54,0.447,0.101,0.058,0.108,0.082,0.1,0.014,0.024,0.101,0.211,0.1,0.3,0.3,0.009,-1.6,-2.5,-4,-0.9
balad01MEM2026,Adama-Alpha Bal,MEM2026,2026,NBA,Adama-Alpha Bal,22,MEM,NULL,2,0,59,5.5,0.392,0.571,0.214,0.018,0.074,0.046,0.107,0.024,0,0,0.108,0,0,0,0.02,-7.1,-0.5,-7.6,-0.1
baldwpa013TM2026,Patrick Baldwin Jr.,3TM2026,2026,NBA,Patrick Baldwin Jr.,23,3TM,SF,9,1,102,11.8,0.549,0.519,0.259,0.127,0.123,0.126,0.064,0.014,0.045,0.143,0.147,0,0.1,0.1,0.049,-3,-1.6,-4.6,-0.1
baldwpa01LAC2026,Patrick Baldwin Jr.,LAC2026,2026,NBA,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,23.7,1.025,0.75,0.5,0,0.095,0.049,0,0,0,0.17,0.218,0.1,0,0.1,0.214,5.2,-0.4,4.8,0
baldwpa01PHI2026,Patrick Baldwin Jr.,PHI2026,2026,NBA,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,6.3,NULL,NULL,NULL,0,0.555,0.274,0,0,0,#VALUE!,0,0,0,0,0.083,-5,-3.1,-8.1,0
baldwpa01SAC2026,Patrick Baldwin Jr.,SAC2026,2026,NBA,Patrick Baldwin Jr.,23,SAC,SF,6,1,88,10.3,0.456,0.478,0.217,0.148,0.117,0.133,0.074,0.016,0.052,0.137,0.141,0,0,0,0.026,-4.1,-1.7,-5.8,-0.1
ballla01CHO2026,LaMelo Ball,CHO2026,2026,NBA,LaMelo Ball,24,CHO,PG,66,63,1833,19.3,0.539,0.584,0.142,0.036,0.158,0.098,0.424,0.021,0.008,0.132,0.319,3,2.3,5.3,0.138,4.3,-0.2,4.1,2.8
balllo01CLE2026,Lonzo Ball,CLE2026,2026,NBA,Lonzo Ball,28,CLE,PG,35,3,728,9.5,0.432,0.835,0.119,0.039,0.172,0.106,0.226,0.03,0.012,0.219,0.137,-0.4,1,0.6,0.042,-2.9,1.8,-1.1,0.1
bambamo012TM2026,Mo Bamba,2TM2026,2026,NBA,Mo Bamba,27,2TM,C,4,0,44,13,0.455,0,0,0.243,0.303,0.273,0.031,0,0.066,0.154,0.123,0,0,0.1,0.057,-4.4,-3.7,-8,-0.1
bambamo01TOR2026,Mo Bamba,TOR2026,2026,NBA,Mo Bamba,27,TOR,C,2,0,6,-2.8,0,0,0,0.186,0.191,0.189,0,0,0.161,0,0.143,0,0,0,-0.161,-18.9,-2.6,-21.4,0
bambamo01UTA2026,Mo Bamba,UTA2026,2026,NBA,Mo Bamba,27,UTA,C,2,0,38,15.5,0.556,0,0,0.252,0.321,0.286,0.036,0,0.051,0.182,0.12,0,0,0.1,0.092,-2.1,-3.8,-5.9,0
banchpa01ORL2026,Paolo Banchero,ORL2026,2026,NBA,Paolo Banchero,23,ORL,PF,65,65,2275,17.9,0.567,0.243,0.502,0.037,0.231,0.133,0.231,0.009,0.015,0.132,0.278,2,2.5,4.5,0.095,1.5,-0.2,1.4,1.9
banede01ORL2026,Desmond Bane,ORL2026,2026,NBA,Desmond Bane,27,ORL,SG,75,75,2562,16.9,0.608,0.352,0.28,0.039,0.098,0.068,0.194,0.014,0.011,0.109,0.233,4.6,2.2,6.8,0.127,1.6,-0.4,1.2,2.1
bantoda012TM2026,Dalano Banton,2TM2026,2026,NBA,Dalano Banton,26,2TM,PG,5,0,25,12.7,0.506,0,0.222,0.048,0,0.023,0.248,0.02,0.041,0.168,0.208,0,0,0,0.033,-4.4,-0.7,-5,0
