team_id,season,league,team,abbreviation,playoffs,games,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss
HOU2016,2016,NBA,Houston Rockets,HOU,TRUE,82,19830,38.4,84.9,0.452,10.9,31.4,0.347,27.5,53.5,0.514,20.7,29.8,0.694,11.5,32.2,43.8,22.6,10.2,5.3,16.2,22.2,108.3
IND2016,2016,NBA,Indiana Pacers,IND,TRUE,82,19880,39.3,87.3,0.45,8.3,23.6,0.351,31,63.7,0.486,17.9,23.4,0.764,10.6,34.7,45.3,21.7,9.3,4.9,15.2,20.5,104.6
LAC2016,2016,NBA,Los Angeles Clippers,LAC,TRUE,82,19830,39.7,85.4,0.465,10.1,27.7,0.364,29.6,57.7,0.513,18.8,27.2,0.692,9.1,34.5,43.6,23.7,9,5.8,13.4,22.1,108.3
LAL2016,2016,NBA,Los Angeles Lakers,LAL,FALSE,82,19730,36.7,88.5,0.414,8.1,25.7,0.317,28.5,62.9,0.454,20.1,25.8,0.781,11.2,33.7,44.8,18.8,7.5,4.3,14.3,21.2,101.6
MEM2016,2016,NBA,Memphis Grizzlies,MEM,TRUE,82,19830,39.2,89,0.44,6.5,19.7,0.331,32.6,69.3,0.471,20.6,26.3,0.783,11.9,32.4,44.3,22,9.4,4.5,14.1,23.1,105.4
MIA2016,2016,NBA,Miami Heat,MIA,TRUE,82,19830,40.7,86.6,0.47,6.4,19.1,0.336,34.3,67.5,0.508,18.2,24.4,0.744,10.4,36.4,46.8,22.1,7.2,6.9,14.9,19.4,106.1
MIL2016,2016,NBA,Milwaukee Bucks,MIL,FALSE,82,19830,40.4,86.6,0.467,5.7,16.4,0.345,34.7,70.2,0.495,17.9,23.9,0.747,11,32.9,43.9,24.3,8.6,6.1,16,21.8,104.3
MIN2016,2016,NBA,Minnesota Timberwolves,MIN,FALSE,82,19880,39.2,84.5,0.464,5.8,17.1,0.338,33.5,67.5,0.496,22.2,28.1,0.792,10.4,32.8,43.2,24.3,8.3,4.8,15.6,21.5,106.5
NOP2016,2016,NBA,New Orleans Pelicans,NOP,FALSE,82,19780,39.5,88.3,0.448,8.8,24.5,0.36,30.7,63.8,0.482,17.7,22.9,0.776,9.8,34,43.8,22.8,7.9,4.3,13.8,21.5,105.6
NYK2016,2016,NBA,New York Knicks,NYK,FALSE,82,19805,39.2,89.3,0.439,7.9,22.9,0.346,31.3,66.5,0.471,18.3,22.7,0.805,11,36.2,47.2,21.8,6.1,6,14.3,21,104.6
OKC2016,2016,NBA,Oklahoma City Thunder,OKC,TRUE,82,19830,42.2,88.6,0.476,8.5,24.3,0.349,33.7,64.3,0.524,20.2,25.9,0.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,113.1
ORL2016,2016,NBA,Orlando Magic,ORL,FALSE,82,19905,40.7,89.4,0.455,8,22.8,0.35,32.7,66.6,0.492,15.7,20.7,0.757,10.6,34,44.6,24.3,8.5,5.2,14.5,21.4,105.1
PHI2016,2016,NBA,Philadelphia 76ers,PHI,FALSE,82,19805,36.7,85.2,0.431,9.5,27.9,0.339,27.3,57.3,0.476,15.9,22.9,0.694,9.6,32.2,41.8,21.8,8.4,6.1,16.6,22,98.8
PHO2016,2016,NBA,Phoenix Suns,PHO,FALSE,82,19705,37.7,86.8,0.435,9.1,26.2,0.348,28.6,60.6,0.472,17.7,23.5,0.751,11.7,33.8,45.4,21,7.8,3.9,17.4,23,102.2
POR2016,2016,NBA,Portland Trail Blazers,POR,TRUE,82,19805,40,88.9,0.45,10.9,29.5,0.37,29.1,59.4,0.49,18,23.8,0.754,12,35.1,47.1,22.1,7.1,4.8,15.1,22.5,108.8
SAC2016,2016,NBA,Sacramento Kings,SAC,FALSE,82,19805,39.8,85.9,0.464,8,22.3,0.359,31.8,63.6,0.5,18.4,25.3,0.725,10.5,33.5,44,24.4,8.9,4.5,16.1,20.3,106
SAS2016,2016,NBA,San Antonio Spurs,SAS,TRUE,82,19705,42.7,88.3,0.484,7.4,19.7,0.375,35.3,68.6,0.515,17.4,21.7,0.803,10,36.8,46.8,26.1,8.8,6.3,13.9,18.6,110.3
TOR2016,2016,NBA,Toronto Raptors,TOR,TRUE,82,19780,39.3,87.1,0.451,9.2,25,0.37,30,62.1,0.483,22.2,28.6,0.777,10.9,35.6,46.5,20.1,8.3,5.9,14,21,110
UTA2016,2016,NBA,Utah Jazz,UTA,FALSE,82,19955,39.1,87.1,0.449,9.2,25.9,0.355,29.9,61.3,0.488,18.5,24.9,0.744,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,105.9
WAS2016,2016,NBA,Washington Wizards,WAS,FALSE,82,19755,40,86.8,0.46,8.7,24.5,0.358,31.2,62.3,0.501,16.6,22.8,0.73,9.2,33.2,42.3,24.7,8.7,4,14.6,21.1,105.3
ATL2015,2015,NBA,Atlanta Hawks,ATL,TRUE,82,19730,40.4,86.7,0.466,10.6,27.9,0.38,29.8,58.9,0.506,17.5,22.5,0.778,9.3,33.8,43.1,27.3,9.6,4.9,15.1,18.9,108.9
BOS2015,2015,NBA,Boston Celtics,BOS,TRUE,82,19880,40.2,90.8,0.443,8.3,25.5,0.327,31.9,65.4,0.488,15.9,21.1,0.754,11.5,33.8,45.3,25.3,8.5,3.7,14.3,21.9,104.7
BRK2015,2015,NBA,Brooklyn Nets,BRK,TRUE,82,19930,39.9,88.4,0.451,7,21.2,0.331,32.8,67.2,0.489,17.6,23.6,0.748,11,34.1,45.1,22.3,7.5,4.4,14.7,20.5,104.4
CHI2015,2015,NBA,Chicago Bulls,CHI,TRUE,82,19880,39,88.4,0.442,8.4,23.7,0.353,30.7,64.7,0.474,21.1,26.9,0.783,12.5,36.3,48.8,23.2,6.7,6.2,14.9,19.5,107.5
CHO2015,2015,NBA,Charlotte Hornets,CHO,FALSE,82,19905,37.8,89.9,0.42,6.5,20.3,0.318,31.3,69.6,0.45,18.1,24.2,0.748,10.6,36.2,46.9,21.5,6.5,5.8,12.7,19.4,100.1
CLE2015,2015,NBA,Cleveland Cavaliers,CLE,TRUE,82,19780,40.6,88.6,0.458,10.9,29.6,0.367,29.7,58.9,0.504,19.1,25.4,0.751,12,34.3,46.3,23.8,7.9,4.5,15.4,19.8,111.1
DAL2015,2015,NBA,Dallas Mavericks,DAL,TRUE,82,19880,41.3,89.3,0.463,9.3,26.4,0.352,32,62.8,0.509,17.6,23.4,0.752,10.9,33.1,44,23.4,8.4,4.7,13.5,20.9,109.5
DEN2015,2015,NBA,Denver Nuggets,DEN,FALSE,82,19880,38.9,89.9,0.433,8.3,25.5,0.325,30.6,64.4,0.476,18.4,25,0.734,12.7,33.3,46,22.5,8.1,4.6,14.6,23.6,104.5
DET2015,2015,NBA,Detroit Pistons,DET,FALSE,82,19830,39.7,91.8,0.432,9.2,26.6,0.344,30.5,65.1,0.468,16.8,24,0.703,13.7,34.3,48,23.1,8.1,5,14.3,20.3,105.3
GSW2015,2015,NBA,Golden State Warriors,GSW,TRUE,82,19730,42.2,88.3,0.478,10.9,27.4,0.398,31.3,60.9,0.514,16.3,21.2,0.768,10.6,34.8,45.4,27.8,9.4,6.1,14.7,20.2,111.6
HOU2015,2015,NBA,Houston Rockets,HOU,TRUE,82,19805,38.1,85.8,0.444,11.7,33.6,0.348,26.3,52.1,0.506,19.1,26.8,0.715,12,32.9,45,22.8,9.8,5.1,17.1,22.6,107
IND2015,2015,NBA,Indiana Pacers,IND,FALSE,82,19855,38.9,88.5,0.439,7.9,22.6,0.352,31,66,0.469,17.8,23.6,0.756,11.1,36.6,47.7,22.8,6.6,4.9,14.9,22.6,103.5
LAC2015,2015,NBA,Los Angeles Clippers,LAC,TRUE,82,19730,41.5,87.7,0.473,10.6,28.3,0.376,30.8,59.4,0.519,18.9,26.5,0.71,10.1,34.8,44.9,26.1,8.2,5.3,13,22.5,112.4
LAL2015,2015,NBA,Los Angeles Lakers,LAL,FALSE,82,19930,39.1,89.9,0.435,6.8,19.8,0.344,32.3,70.1,0.461,18.4,24.8,0.741,12.2,33.9,46.1,22,7.4,4.7,13.9,22.3,103.4
MEM2015,2015,NBA,Memphis Grizzlies,MEM,TRUE,82,19905,40.6,88.7,0.458,5.5,16.3,0.339,35.1,72.3,0.485,18.9,24.5,0.773,11.2,34.5,45.8,23.3,9.2,4.5,14.3,20.5,105.7
MIA2015,2015,NBA,Miami Heat,MIA,FALSE,82,19730,38.6,84.7,0.456,7.4,22.2,0.335,31.2,62.5,0.499,19.2,26,0.741,10,32.9,42.9,21.8,8.6,5,16.2,21.9,103.9
MIL2015,2015,NBA,Milwaukee Bucks,MIL,TRUE,82,19930,39.5,86,0.459,7,19.2,0.363,32.5,66.8,0.486,16.8,22.2,0.757,11.2,32.9,44.2,24.7,10.1,5.2,17.6,23.2,102.7
MIN2015,2015,NBA,Minnesota Timberwolves,MIN,FALSE,82,19805,38.3,87.5,0.438,5.2,15.7,0.332,33.1,71.8,0.461,21,27.1,0.776,12.2,30.9,43.1,22.7,8.6,4.2,15.8,20.2,102.9
NOP2015,2015,NBA,New Orleans Pelicans,NOP,TRUE,82,19780,41.3,90.2,0.457,7.8,21,0.37,33.5,69.2,0.484,17.9,23.8,0.751,12.5,34.8,47.3,24,7.3,6.8,14.4,20.3,108.2
NYK2015,2015,NBA,New York Knicks,NYK,FALSE,82,19855,38.2,89.2,0.428,7.4,21.4,0.347,30.8,67.8,0.454,16.1,20.9,0.769,11.5,32.4,43.9,23.1,7.6,5.1,16,23.4,99.9
OKC2015,2015,NBA,Oklahoma City Thunder,OKC,FALSE,82,19830,40.3,90,0.447,8,23.6,0.339,32.3,66.4,0.486,19.3,25.5,0.754,13.3,36,49.3,21.3,7.6,5.7,15.2,23.1,107.8
ORL2015,2015,NBA,Orlando Magic,ORL,FALSE,82,19755,39.8,87.9,0.453,7.2,20.7,0.347,32.6,67.2,0.486,14.8,20.3,0.729,10.6,33.7,44.4,21.9,8.4,4.1,15.8,22.2,101.6
PHI2015,2015,NBA,Philadelphia 76ers,PHI,FALSE,82,19805,35,85.8,0.408,8.8,27.3,0.32,26.2,58.4,0.449,16.7,24.7,0.676,12.4,32.1,44.5,21.3,10,6.2,18.4,22.5,95.5
PHO2015,2015,NBA,Phoenix Suns,PHO,FALSE,82,19880,39.8,88.3,0.452,8.8,25.7,0.341,31.1,62.6,0.497,16.8,22.2,0.76,11.2,33.1,44.4,20.8,8.8,4.8,15.5,21.9,105.3
POR2015,2015,NBA,Portland Trail Blazers,POR,TRUE,82,19855,40.7,90.4,0.45,10.4,28.6,0.362,30.4,61.8,0.491,16.3,20.4,0.801,11.3,37,48.2,23.1,6.7,4.8,14.3,19.2,108.2
SAC2015,2015,NBA,Sacramento Kings,SAC,FALSE,82,19855,38.2,83.9,0.455,5.8,17.1,0.341,32.3,66.8,0.484,23.2,30.4,0.762,11.3,34.6,45.9,21.1,7,4.1,16.9,21.5,105.3
SAS2015,2015,NBA,San Antonio Spurs,SAS,TRUE,82,19955,41.1,87.9,0.468,8.7,23.7,0.367,32.5,64.2,0.505,17.5,22.5,0.78,10.3,35.6,45.9,25.7,8.4,5.7,14.7,20.1,108.5
TOR2015,2015,NBA,Toronto Raptors,TOR,TRUE,82,19855,40.5,88.9,0.455,9.5,26.8,0.352,31,62.1,0.499,20.6,26.2,0.787,11.5,32.9,44.4,22.1,8,4.6,13.8,22.3,111
UTA2015,2015,NBA,Utah Jazz,UTA,FALSE,82,19705,39.1,87.5,0.447,8.2,24,0.343,30.9,63.5,0.486,18.7,26,0.721,13.3,35.3,48.6,22,8.4,6.6,16.9,21.3,105.1
WAS2015,2015,NBA,Washington Wizards,WAS,TRUE,82,19955,40.3,87.2,0.462,6.4,17.7,0.36,33.9,69.4,0.488,16.8,22.6,0.742,11.1,36,47,25.3,7.7,4.9,15.8,21.9,103.7
ATL2014,2014,NBA,Atlanta Hawks,ATL,TRUE,82,19830,39.1,85.5,0.458,9.8,27.1,0.363,29.3,58.5,0.502,17.8,22.8,0.781,9.1,32.8,41.9,26.1,8.7,4.2,16,20.2,105.9
BOS2014,2014,NBA,Boston Celtics,BOS,FALSE,82,19730,39.1,89.7,0.435,7.5,22.5,0.333,31.6,67.2,0.47,17.3,22.2,0.777,12.8,32.7,45.4,22.5,7.6,4.5,16.4,22.7,102.9
BRK2014,2014,NBA,Brooklyn Nets,BRK,TRUE,82,19880,38.7,84.4,0.459,9.4,25.4,0.369,29.3,59,0.497,19.9,26.4,0.753,9.5,31.8,41.3,22.6,9.3,4.1,15.7,23.5,106.7
CHA2014,2014,NBA,Charlotte Bobcats,CHA,TRUE,82,19905,38.8,87.8,0.442,6.7,19.2,0.351,32.1,68.6,0.468,19.2,26.1,0.737,10.1,35.5,45.6,23.2,6.5,5.5,13.2,19.5,103.6
CHI2014,2014,NBA,Chicago Bulls,CHI,TRUE,82,19930,38,87.8,0.432,6.8,19.5,0.348,31.2,68.3,0.456,19.8,25.5,0.779,12.5,35.8,48.3,24.8,7.9,5.7,16.3,20.9,102.5
CLE2014,2014,NBA,Cleveland Cavaliers,CLE,FALSE,82,19930,39.3,90,0.437,7.6,21.2,0.356,31.7,68.7,0.461,18.1,24.1,0.751,12.8,34,46.8,22.5,7.5,3.9,15,21.2,104.2
DAL2014,2014,NBA,Dallas Mavericks,DAL,TRUE,82,19830,42,88.7,0.474,9.3,24.3,0.384,32.7,64.4,0.508,17.8,22.4,0.795,10.9,32.5,43.4,25,9.1,4.6,14.4,21.2,111.2
DEN2014,2014,NBA,Denver Nuggets,DEN,FALSE,82,19755,39,87.2,0.447,8.7,24.3,0.358,30.3,63,0.481,19.4,26.7,0.726,12.5,33.7,46.2,22.8,7.6,5.7,16.2,23.4,106
DET2014,2014,NBA,Detroit Pistons,DET,FALSE,82,19780,40.7,91.1,0.447,6.5,20.2,0.321,34.2,70.9,0.483,18.1,27,0.67,15.3,32.3,47.6,21.9,8.8,5,15.2,21.3,105.9
GSW2014,2014,NBA,Golden State Warriors,GSW,TRUE,82,19830,40.7,88.1,0.462,9.7,25.6,0.38,31,62.5,0.496,16.4,21.8,0.753,11.3,35.5,46.7,24,8.1,5.1,15.7,22.4,107.5
HOU2014,2014,NBA,Houston Rockets,HOU,TRUE,82,19830,39.2,83,0.472,9.8,27.4,0.358,29.4,55.6,0.529,22.8,32,0.712,11.6,35.1,46.7,22.1,7.8,5.8,16.6,21.1,111
IND2014,2014,NBA,Indiana Pacers,IND,TRUE,82,19780,38.7,86.2,0.449,7.2,20.2,0.357,31.5,66,0.477,19.5,25,0.779,10.9,37.1,48.1,21.7,7.2,5.9,16.2,22,104.1
LAC2014,2014,NBA,Los Angeles Clippers,LAC,TRUE,82,19755,40.6,85.6,0.474,8.8,24.9,0.352,31.8,60.7,0.525,22,30.2,0.73,10.9,33.8,44.6,25.5,8.9,5,14.4,22.4,112.1
LAL2014,2014,NBA,Los Angeles Lakers,LAL,FALSE,82,19705,38.7,86.2,0.45,9.6,25.1,0.381,29.2,61.1,0.478,17.2,22.6,0.757,9.2,32.3,41.5,24.8,7.5,5.5,15.3,20.1,104.2
MEM2014,2014,NBA,Memphis Grizzlies,MEM,TRUE,82,19805,42.1,90.7,0.464,5.5,15.5,0.353,36.6,75.2,0.487,16.7,22.5,0.741,12.8,34.1,46.9,24.2,8.5,5.1,15.2,21.1,106.3
MIA2014,2014,NBA,Miami Heat,MIA,TRUE,82,19880,41.6,83,0.501,8.8,24.2,0.364,32.8,58.8,0.558,18.9,24.9,0.76,8.3,31.7,40,24.4,9.7,4.9,16,21.1,110.9
MIL2014,2014,NBA,Milwaukee Bucks,MIL,FALSE,82,19880,38.8,88.6,0.438,7.2,20.4,0.353,31.6,68.2,0.464,18.1,24.2,0.747,12.8,31.6,44.3,23.2,7.1,5.3,16.3,22.5,103
MIN2014,2014,NBA,Minnesota Timberwolves,MIN,FALSE,82,19855,39.6,89.1,0.444,7.5,21.8,0.341,32.2,67.3,0.478,22.2,28.6,0.778,12.7,32.8,45.6,24.4,8.9,3.7,14.2,18.7,108.9
NOP2014,2014,NBA,New Orleans Pelicans,NOP,FALSE,82,19855,40.7,88.7,0.459,6.4,17.1,0.373,34.3,71.6,0.479,19.5,25.4,0.769,12.2,32.6,44.8,22.9,8.5,6.9,14.8,24.4,107.2
NYK2014,2014,NBA,New York Knicks,NYK,FALSE,82,19855,40.5,90.2,0.449,10.2,27.3,0.372,30.4,63,0.482,17,22.4,0.761,11.7,32.6,44.3,22,8.5,4.9,14.2,24.3,108.3
OKC2014,2014,NBA,Oklahoma City Thunder,OKC,TRUE,82,19805,40.6,86.1,0.471,8.4,23.3,0.361,32.1,62.8,0.512,21,26.1,0.806,11.3,35.3,46.6,22.8,8.6,6.4,15.9,23.6,110.5
ORL2014,2014,NBA,Orlando Magic,ORL,FALSE,82,19955,38.8,87.1,0.445,7.2,20.5,0.353,31.6,66.6,0.474,16.8,22,0.763,10.2,34.1,44.3,22.2,8.1,4.5,15.7,21.6,101.7
PHI2014,2014,NBA,Philadelphia 76ers,PHI,FALSE,82,19855,37.9,87.2,0.435,7,22.5,0.312,30.9,64.6,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4,16.9,22.5,99.4
PHO2014,2014,NBA,Phoenix Suns,PHO,FALSE,82,19755,40.2,86.8,0.463,9.7,26.1,0.372,30.5,60.8,0.503,19.3,25.4,0.758,11.8,33,44.8,19.8,8.7,4.7,16,22.8,109.5
POR2014,2014,NBA,Portland Trail Blazers,POR,TRUE,82,19855,40.9,90.9,0.45,9.8,26.4,0.372,31.1,64.5,0.481,20,24.5,0.815,13,35.5,48.5,24.3,5.8,4.9,14.3,20.1,111.5
SAC2014,2014,NBA,Sacramento Kings,SAC,FALSE,82,19830,38.8,86.8,0.447,6.3,18.9,0.333,32.5,67.9,0.479,21.8,28.7,0.759,12.7,34.1,46.8,19.8,7.5,4.1,16,23.7,105.7
SAS2014,2014,NBA,San Antonio Spurs,SAS,TRUE,82,19755,42.5,87.5,0.486,8.9,22.5,0.397,33.6,65.1,0.517,16.5,21,0.785,9.7,35.6,45.4,26.4,7.7,5.4,15.1,19.1,110.5
TOR2014,2014,NBA,Toronto Raptors,TOR,TRUE,82,19955,39.2,88,0.445,9.3,25.1,0.372,29.8,62.9,0.475,21.1,26.9,0.782,12.2,33.4,45.7,22.7,7.6,4.5,15.2,24.6,108.8
UTA2014,2014,NBA,Utah Jazz,UTA,FALSE,82,19780,39.2,88.3,0.444,7.2,20.9,0.344,32,67.4,0.474,17.9,23.9,0.747,12,32.9,44.9,22.1,7.6,4.9,15.9,22.6,103.5
WAS2014,2014,NBA,Washington Wizards,WAS,TRUE,82,20055,40.8,88.8,0.459,8.3,21.9,0.38,32.5,67,0.485,16.1,22,0.731,11.4,33,44.4,24.5,8.6,4.8,15.5,21.5,106
ATL2013,2013,NBA,Atlanta Hawks,ATL,TRUE,82,19855,40.2,86.7,0.464,9.2,24.8,0.371,31,61.9,0.501,15.1,21.1,0.715,9.9,33.8,43.7,26.2,8.7,4.8,15.9,19.2,104.8
BOS2013,2013,NBA,Boston Celtics,BOS,TRUE,81,19840,39.6,85.2,0.465,6.6,18.3,0.358,33,66.8,0.494,17.4,22.4,0.776,8.6,33.4,42,24.3,8.8,4.8,15.6,22.6,103.1
BRK2013,2013,NBA,Brooklyn Nets,BRK,TRUE,82,19855,40.1,89.1,0.45,8.6,24,0.357,31.5,65.1,0.484,19.5,26.7,0.731,14.3,33.5,47.8,22.7,8.2,5.3,16.4,20.4,108.2
CHA2013,2013,NBA,Charlotte Bobcats,CHA,FALSE,82,19805,37.4,88.1,0.425,6.2,18.5,0.335,31.2,69.6,0.448,20.5,27.3,0.75,12.2,31.7,43.8,21,7.8,6.3,15.3,20.7,101.5
CHI2013,2013,NBA,Chicago Bulls,CHI,TRUE,82,19830,39.6,90.7,0.437,6,17.1,0.353,33.6,73.6,0.456,18.2,23.5,0.773,13.9,34.1,48,25.5,8,5.6,15.9,21.9,103.5
CLE2013,2013,NBA,Cleveland Cavaliers,CLE,FALSE,82,19730,39.5,91,0.434,7.2,20.8,0.346,32.2,70.1,0.46,18.2,24.1,0.756,13.2,31.1,44.3,22.3,8.5,4.4,15.1,22.9,104.3
DAL2013,2013,NBA,Dallas Mavericks,DAL,FALSE,82,19980,40.6,88,0.462,7.7,20.8,0.372,32.9,67.2,0.489,16.9,21.3,0.793,9.8,34.1,43.9,24.3,8.3,5.8,14.6,21.7,105.9
DEN2013,2013,NBA,Denver Nuggets,DEN,TRUE,82,19905,42.3,88.6,0.478,6.6,19.3,0.343,35.7,69.3,0.516,19.1,27.2,0.701,13.8,33,46.8,25.4,9.7,6.8,15.9,21.3,110.4
DET2013,2013,NBA,Detroit Pistons,DET,FALSE,82,19805,39.7,88.6,0.449,6.8,19.2,0.356,32.9,69.4,0.474,17.4,24.9,0.699,13.2,32.9,46.1,23.2,7.7,5.3,16.6,21.7,103.8
GSW2013,2013,NBA,Golden State Warriors,GSW,TRUE,82,19805,40.2,87.7,0.458,8.4,20.9,0.403,31.7,66.8,0.475,17.7,22.4,0.79,11.4,35.9,47.3,23.7,7.3,4.4,15.9,22.5,106.4
HOU2013,2013,NBA,Houston Rockets,HOU,TRUE,82,19780,39.4,85.6,0.461,10.9,29.9,0.366,28.5,55.7,0.511,19.9,26.3,0.754,11.5,33.5,45,24,8.6,4.5,17,21,109.7
IND2013,2013,NBA,Indiana Pacers,IND,TRUE,81,19590,38.7,88.6,0.436,7.5,21.7,0.347,31.1,66.9,0.465,19.4,26,0.746,14.2,36.3,50.5,22.3,7.9,7,16.7,22.1,104.3
LAC2013,2013,NBA,Los Angeles Clippers,LAC,TRUE,82,19730,42.2,88.2,0.478,8.4,23.4,0.358,33.8,64.8,0.522,17.9,25.2,0.711,12.5,33,45.6,26.1,10.5,6.2,16,22.9,110.6
LAL2013,2013,NBA,Los Angeles Lakers,LAL,TRUE,82,19755,39.1,85.4,0.458,9.2,25.9,0.355,29.9,59.5,0.503,20.4,29.4,0.692,12.1,35.1,47.3,23.4,7.4,5.5,15.8,18.9,107.8
MEM2013,2013,NBA,Memphis Grizzlies,MEM,TRUE,82,19805,40.6,91.5,0.444,5.2,15.2,0.345,35.4,76.4,0.463,18.5,23.9,0.773,14.5,33.5,48,23.5,9.6,6,15.7,22.7,104.9
MIA2013,2013,NBA,Miami Heat,MIA,TRUE,82,19880,41.9,84.5,0.496,9.5,24.1,0.396,32.4,60.4,0.536,18.9,25.1,0.754,9,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3
MIL2013,2013,NBA,Milwaukee Bucks,MIL,TRUE,82,19830,40,92,0.435,7.7,21.3,0.36,32.3,70.6,0.457,16,21.7,0.736,13.7,32.4,46.1,24,8.8,7,14.8,19.9,103.6
MIN2013,2013,NBA,Minnesota Timberwolves,MIN,FALSE,82,19730,38.6,87.8,0.439,5.9,19.3,0.305,32.7,68.5,0.477,19.9,26.8,0.742,12.7,32.4,45.2,24.1,9.2,5.1,15.9,19.8,102.9
NOH2013,2013,NBA,New Orleans Hornets,NOH,FALSE,82,19780,40.5,90.3,0.448,7.3,20.2,0.363,33.2,70.1,0.473,17.4,22.4,0.776,13.5,33.2,46.8,23.6,7.1,6,16.4,22.9,105.7
NYK2013,2013,NBA,New York Knicks,NYK,TRUE,82,19730,40.6,90.6,0.448,12.1,32.1,0.376,28.5,58.5,0.487,17.8,23.4,0.759,12.1,33,45.1,21.4,9.1,4,13.4,22.4,111.1
OKC2013,2013,NBA,Oklahoma City Thunder,OKC,TRUE,82,19830,40.5,84.3,0.481,7.8,20.6,0.377,32.8,63.7,0.514,23.6,28.5,0.828,11.1,35.3,46.4,22.7,8.8,8.1,16.2,21.4,112.4
ORL2013,2013,NBA,Orlando Magic,ORL,FALSE,82,19780,40.7,90.9,0.448,6.7,20.2,0.329,34.1,70.6,0.482,13.5,17.9,0.755,11.7,34.4,46.1,24.6,7,4.7,15.7,20.9,101.6
PHI2013,2013,NBA,Philadelphia 76ers,PHI,FALSE,82,19755,40.8,92,0.444,6.9,19.2,0.36,33.9,72.9,0.466,13.4,18.4,0.729,12,33.3,45.2,24.9,8.1,5.1,14.3,20.1,102
PHO2013,2013,NBA,Phoenix Suns,PHO,FALSE,82,19805,39.7,89.7,0.443,6.2,18.9,0.33,33.5,70.8,0.473,15.6,21,0.744,12.4,31.8,44.3,24.1,8.5,5.6,16.6,21.9,101.2
POR2013,2013,NBA,Portland Trail Blazers,POR,FALSE,82,19855,39.8,88.8,0.448,8.9,25.2,0.353,30.9,63.6,0.486,17.2,22.2,0.776,11.6,32.7,44.3,23.6,7.1,4.7,15.9,20.1,105.8
SAC2013,2013,NBA,Sacramento Kings,SAC,FALSE,82,19830,39.9,89.2,0.447,7.9,21.7,0.363,32,67.5,0.474,18.6,24.2,0.769,12.2,30.8,43,22.1,8.7,4.4,15.5,22.2,106.2
SAS2013,2013,NBA,San Antonio Spurs,SAS,TRUE,82,19880,41.1,85.6,0.481,8.5,22.6,0.376,32.6,62.9,0.519,17.5,22.1,0.791,8.5,34.9,43.4,26.4,8.9,5.7,15.5,18.3,108.3
TOR2013,2013,NBA,Toronto Raptors,TOR,FALSE,82,19980,39.6,88.8,0.446,7.6,22.1,0.343,32,66.7,0.48,19.2,24.3,0.788,11.6,32.2,43.8,23.5,7.9,5.2,14.9,24.4,105.9
UTA2013,2013,NBA,Utah Jazz,UTA,FALSE,82,19880,40.4,89.1,0.454,6.7,18.4,0.366,33.7,70.7,0.477,19.1,25,0.764,13.1,32.6,45.8,24.7,9.2,6.8,16.1,23.2,106.7
WAS2013,2013,NBA,Washington Wizards,WAS,FALSE,82,19855,38.2,87.8,0.435,7.1,19.6,0.365,31,68.2,0.455,16.8,22.9,0.733,11.6,34.8,46.4,23.3,7.8,4.9,16.2,22,100.2
ATL2012,2012,NBA,Atlanta Hawks,ATL,TRUE,66,16165,40,88,0.454,8.1,21.9,0.37,31.9,66.1,0.482,16.9,22.8,0.74,10.7,34,44.7,24.4,8.8,5,15.2,19.4,104.9
BOS2012,2012,NBA,Boston Celtics,BOS,TRUE,66,15940,39,84.7,0.46,6,16.5,0.367,33,68.3,0.483,16.9,21.8,0.778,8.5,34.2,42.7,25.9,8.3,6,16.3,21.9,101
CHA2012,2012,NBA,Charlotte Bobcats,CHA,FALSE,66,15890,36.4,87.8,0.414,4.4,14.8,0.295,32,73,0.439,18.1,24.2,0.746,11.2,31.4,42.6,22,6.6,6,15.9,20.7,95.2
CHI2012,2012,NBA,Chicago Bulls,CHI,TRUE,66,15940,41.7,92.3,0.452,7.1,18.9,0.375,34.6,73.4,0.471,17,23.5,0.722,15.5,36.6,52,25.8,7.7,6.6,15.6,19.2,107.4
CLE2012,2012,NBA,Cleveland Cavaliers,CLE,FALSE,66,15965,37.2,88.2,0.422,7.2,21,0.346,30,67.3,0.446,19.4,27.1,0.716,13.8,32.1,45.9,21.5,7.7,4.3,16.7,21.7,101.1
DAL2012,2012,NBA,Dallas Mavericks,DAL,TRUE,66,16065,39.2,88.4,0.443,8.1,23.9,0.339,31.1,64.5,0.482,16.8,21.8,0.771,10.9,35.2,46.1,22.5,9.2,5.5,15.1,20,103.3
DEN2012,2012,NBA,Denver Nuggets,DEN,TRUE,66,16040,40.9,85.9,0.476,6.9,20.8,0.332,33.9,65,0.522,20.5,28,0.735,11.7,33.4,45.2,25.1,8.6,5.2,16.1,20.6,109.2
