player_id,team_id,season,league,player,age,team,position,games,games_started,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,effective_fg_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss,offensive_rtg,defensive_rtg
greenja02DET2026,DET2026,2026,NBA,Javonte Green,32,DET,SG,76,6,1343,6.2,13.8,0.445,3.1,8.2,0.373,3.1,5.6,0.551,0.556,3.4,4.1,0.833,2.1,5.4,7.4,1.9,3.4,0.8,1.5,3.7,18.8,123,108
greenja05PHO2026,PHO2026,2026,NBA,Jalen Green,23,PHO,SG,28,23,722,13,31.2,0.417,4.5,14.3,0.316,8.5,16.9,0.502,0.489,3.9,5.2,0.75,1,6.1,7.1,5.4,2.1,0.2,4.1,2.3,34.4,102,115
greenje02HOU2026,HOU2026,2026,NBA,Jeff Green,39,HOU,PF,28,0,143,8,19.9,0.404,4.2,13.6,0.308,3.8,6.3,0.611,0.509,1,1,1,1.7,5.2,7,2.1,0.3,0.3,0.3,2.8,21.3,122,119
greenjo02CHO2026,CHO2026,2026,NBA,Josh Green,25,CHO,SG,52,0,846,4.6,10,0.462,3.2,7.5,0.419,1.5,2.5,0.595,0.62,1.5,1.6,0.893,2.5,3.1,5.6,2.6,2,0.3,2,3.6,13.9,125,116
grimequ01PHI2026,PHI2026,2026,NBA,Quentin Grimes,25,PHI,SG,68,19,2047,7.4,16.3,0.452,2.8,8.4,0.332,4.6,7.9,0.581,0.538,4.5,5.4,0.837,1,4.9,5.9,5.5,1.5,0.6,3,3.3,22.1,115,119
gueyemo02ATL2026,ATL2026,2026,NBA,Mouhamed Gueye,23,ATL,PF,72,8,1114,5.3,11.7,0.457,1.6,5.1,0.314,3.7,6.6,0.568,0.525,1.7,2.6,0.639,3.6,7.5,11,2.7,2.5,1.5,1.4,5,14,116,111
hachiru01LAL2026,LAL2026,2026,NBA,Rui Hachimura,27,LAL,PF,62,36,1754,7.6,14.8,0.51,2.9,6.7,0.436,4.6,8.1,0.572,0.609,1.2,1.7,0.733,1,4.6,5.5,1.4,0.9,0.5,1.1,2.8,19.3,120,120
hallpj012TM2026,2TM2026,2026,NBA,PJ Hall,23,2TM,C,19,2,214,6.9,13.6,0.508,0.7,1.2,0.6,6.2,12.4,0.5,0.534,5.3,6.7,0.793,7.6,9.7,17.3,2.3,0.7,2.3,3.7,5.1,19.8,119,113
hallpj01MEM2026,MEM2026,2026,NBA,PJ Hall,23,MEM,C,7,0,27,8.8,15.8,0.556,1.8,5.3,0.333,7,10.5,0.667,0.611,3.5,5.3,0.667,5.3,10.5,15.8,3.5,0,3.5,1.8,5.3,22.8,129,116
hallpj01CHO2026,CHO2026,2026,NBA,PJ Hall,23,CHO,C,12,2,187,6.6,13.2,0.5,0.5,0.5,1,6.1,12.7,0.479,0.52,5.6,6.9,0.808,7.9,9.5,17.5,2.1,0.8,2.1,4,5,19.3,118,113
hardati02DEN2026,DEN2026,2026,NBA,Tim Hardaway Jr.,33,DEN,SG,75,5,2021,8.1,17.9,0.45,5.2,12.6,0.41,2.9,5.3,0.545,0.594,3.7,4.6,0.812,0.4,4.3,4.7,2.5,0.9,0.2,1,2.2,25.1,124,121
hardeja012TM2026,2TM2026,2026,NBA,James Harden,36,2TM,PG,66,66,2308,9.8,22.6,0.434,4.3,11.5,0.372,5.5,11.1,0.499,0.529,9.4,10.7,0.881,0.8,6.1,6.9,11.4,1.6,0.6,4.9,2.8,33.4,121,117
hardeja01LAC2026,LAC2026,2026,NBA,James Harden,36,LAC,PG,44,44,1559,10.3,24.6,0.419,4.3,12.4,0.347,6,12.2,0.492,0.506,10.8,11.9,0.901,0.9,5.9,6.8,11.4,1.8,0.5,5.2,2.7,35.7,119,117
hardeja01CLE2026,CLE2026,2026,NBA,James Harden,36,CLE,PG,22,22,749,8.8,18.5,0.476,4.2,9.7,0.437,4.6,8.8,0.518,0.59,6.8,8.3,0.822,0.8,6.5,7.3,11.4,1.1,0.7,4.5,3,28.6,125,117
hardyja022TM2026,2TM2026,2026,NBA,Jaden Hardy,23,2TM,SG,53,4,819,9.7,22.4,0.433,5.5,13.6,0.403,4.2,8.8,0.48,0.555,3,4,0.754,0.9,3.9,4.8,2.6,0.8,0.3,3.3,4.5,27.9,105,123
hardyja02DAL2026,DAL2026,2026,NBA,Jaden Hardy,23,DAL,SG,34,4,428,8.6,21.4,0.402,5.1,13.7,0.371,3.5,7.7,0.457,0.521,3.4,4.4,0.775,1.2,4,5.2,3.2,1,0.2,3,4.3,25.7,104,120
hardyja02WAS2026,WAS2026,2026,NBA,Jaden Hardy,23,WAS,SG,19,0,391,10.9,23.5,0.464,5.9,13.6,0.438,5,10,0.5,0.59,2.5,3.5,0.724,0.5,3.9,4.4,1.9,0.6,0.4,3.6,4.7,30.3,105,127
harklej01UTA2026,UTA2026,2026,NBA,Elijah Harkless,25,UTA,SG,26,9,545,4.7,13.9,0.335,1.8,7.6,0.239,2.9,6.3,0.452,0.401,4.2,5.5,0.766,0.9,3.7,4.6,6.5,2.7,0.5,2.2,4.5,15.4,104,122
harpedy01SAS2026,SAS2026,2026,NBA,Dylan Harper,19,SAS,SG,62,2,1385,10.1,20.2,0.499,1.8,5.6,0.325,8.2,14.5,0.567,0.545,2.8,3.8,0.745,1.6,5.7,7.3,8.2,1.7,0.7,3,4.2,24.8,117,112
harpero02BOS2026,BOS2026,2026,NBA,Ron Harper Jr.,25,BOS,SF,25,2,263,6.4,15.6,0.407,4.2,12.1,0.349,2.1,3.5,0.611,0.543,0.2,0.4,0.5,2.7,5,7.7,3.1,1,1.7,1,3.9,17.2,122,115
harriga01MIL2026,MIL2026,2026,NBA,Gary Harris,31,MIL,SG,45,2,617,3.3,7.2,0.451,2.1,4.9,0.419,1.2,2.3,0.517,0.593,0.6,0.7,0.889,1,3.4,4.5,3.7,2,0.6,1.4,3.8,9.2,119,120
harrito02DET2026,DET2026,2026,NBA,Tobias Harris,33,DET,PF,58,58,1643,8.4,18.2,0.461,2.2,6.2,0.349,6.2,12,0.52,0.521,3.7,4.3,0.87,1.5,7.5,8.9,4.4,1.5,0.7,1.7,2.9,22.7,120,111
harteis01OKC2026,OKC2026,2026,NBA,Isaiah Hartenstein,27,OKC,C,43,42,1068,7.8,12.7,0.616,0,0.3,0,7.8,12.4,0.631,0.616,2.7,4.5,0.596,6.3,12.6,18.9,7.2,2,1.4,3.6,5.1,18.4,125,103
hartjo01NYK2026,NYK2026,2026,NBA,Josh Hart,30,NYK,SF,61,47,1845,7.6,15.1,0.506,2.5,6.2,0.409,5.1,8.9,0.574,0.59,2.3,3.1,0.726,2.4,9.9,12.3,8,1.9,0.5,3.1,4.1,20.1,123,111
hausesa01BOS2026,BOS2026,2026,NBA,Sam Hauser,28,BOS,PF,72,43,1777,6.4,15.7,0.405,5.1,13.3,0.382,1.3,2.4,0.536,0.567,0.5,0.5,0.889,1.5,6.4,7.9,2.9,1.1,0.6,1,3,18.3,123,115
hawkijo01NOP2026,NOP2026,2026,NBA,Jordan Hawkins,23,NOP,SG,46,0,566,5.4,16.5,0.33,3,9.4,0.315,2.5,7,0.349,0.42,1.4,1.7,0.8,1.3,4.6,5.9,2.5,0.8,0.7,2,2.1,15.2,92,123
hayesja02LAL2026,LAL2026,2026,NBA,Jaxson Hayes,25,LAL,C,64,9,1159,7.9,10.5,0.751,0.1,0.1,1,7.7,10.3,0.748,0.757,3.6,5.6,0.634,4,7.2,11.2,2.4,1.2,2.2,1.1,5,19.4,149,116
hayeski01SAC2026,SAC2026,2026,NBA,Killian Hayes,24,SAC,PG,17,3,281,5.2,16.9,0.306,2.1,7.6,0.273,3.1,9.3,0.333,0.367,1.7,1.9,0.909,0.3,6.5,6.9,10.3,1.5,0.7,3.4,4.6,14.1,92,122
